925 reqs/sec
failed 5029


cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:39:47.385872118  Counter:   490 ->   238 (  252 running,   252 max)
2023-11-02T14:39:47.386142265  Counter:   492 ->   239 (  253 running,   253 max)
2023-11-02T14:39:47.386959827  Counter:   494 ->   240 (  254 running,   254 max)
2023-11-02T14:39:47.387653421  Counter:   496 ->   241 (  255 running,   255 max)
2023-11-02T14:39:47.388070164  Counter:   497 ->   242 (  255 running,   255 max)
2023-11-02T14:39:47.388734006  Counter:   502 ->   243 (  259 running,   259 max)
2023-11-02T14:39:47.388778914  Counter:   503 ->   245 (  258 running,   259 max)
2023-11-02T14:39:47.388809225  Counter:   504 ->   245 (  258 running,   259 max)
2023-11-02T14:39:47.389900635  Counter:   509 ->   246 (  263 running,   263 max)
2023-11-02T14:39:47.429489416  Counter:   760 ->   373 (  387 running,   387 max)
2023-11-02T14:39:47.393019958  Counter:   513 ->   247 (  266 running,   266 max)
2023-11-02T14:39:47.393525679  Counter:   515 ->   248 (  267 running,   267 max)
2023-11-02T14:39:47.394508416  Counter:   519 ->   249 (  270 running,   270 max)
2023-11-02T14:39:47.395289032  Counter:   522 ->   250 (  272 running,   272 max)
2023-11-02T14:39:47.395934855  Counter:   524 ->   251 (  273 running,   273 max)
2023-11-02T14:39:47.396987014  Counter:   528 ->   253 (  275 running,   276 max)
2023-11-02T14:39:47.39685229   Counter:   529 ->   253 (  276 running,   276 max)
