908.33 reqs/sec

50	270
66	475
75	543
80	619
90	1468
95	1731
98	2607
99	3211
100	8426





cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:25:56.699669709  Counter:   343 ->   179 (  164 running,   164 max)
2023-11-02T14:25:56.700006135  Counter:   345 ->   180 (  164 running,   164 max)
2023-11-02T14:25:56.7003207    Counter:   346 ->   182 (  165 running,   165 max)
2023-11-02T14:25:56.700344377  Counter:   347 ->   182 (  164 running,   165 max)
2023-11-02T14:25:56.700671304  Counter:   348 ->   183 (  165 running,   165 max)
2023-11-02T14:25:56.700720542  Counter:   349 ->   184 (  164 running,   165 max)
2023-11-02T14:25:56.70106919   Counter:   350 ->   185 (  165 running,   165 max)
2023-11-02T14:25:56.701461907  Counter:   352 ->   186 (  166 running,   166 max)
2023-11-02T14:25:56.702667438  Counter:   356 ->   187 (  169 running,   169 max)
2023-11-02T14:25:56.703477807  Counter:   358 ->   188 (  170 running,   170 max)
2023-11-02T14:25:56.704312411  Counter:   360 ->   189 (  171 running,   171 max)
2023-11-02T14:25:56.705123338  Counter:   362 ->   190 (  172 running,   172 max)
2023-11-02T14:25:56.705920577  Counter:   364 ->   191 (  173 running,   173 max)
2023-11-02T14:25:56.7067116    Counter:   366 ->   193 (  174 running,   174 max)
2023-11-02T14:25:56.70672913   Counter:   366 ->   193 (  173 running,   174 max)
2023-11-02T14:25:56.70706367   Counter:   368 ->   195 (  174 running,   174 max)
2023-11-02T14:25:56.707070305  Counter:   368 ->   195 (  173 running,   174 max)
2023-11-02T14:25:56.707399048  Counter:   370 ->   197 (  173 running,   174 max)
2023-11-02T14:25:56.70772367   Counter:   372 ->   199 (  174 running,   174 max)
2023-11-02T14:25:56.707748743  Counter:   373 ->   199 (  173 running,   174 max)
2023-11-02T14:25:56.708074204  Counter:   374 ->   201 (  173 running,   174 max)
2023-11-02T14:25:56.708404413  Counter:   376 ->   203 (  174 running,   174 max)
2023-11-02T14:25:56.708416286  Counter:   376 ->   203 (  173 running,   174 max)
2023-11-02T14:25:56.708718141  Counter:   378 ->   205 (  174 running,   174 max)
2023-11-02T14:25:56.708726661  Counter:   378 ->   205 (  173 running,   174 max)
2023-11-02T14:25:56.709027538  Counter:   380 ->   207 (  174 running,   174 max)
2023-11-02T14:25:56.709034661  Counter:   380 ->   207 (  173 running,   174 max)
2023-11-02T14:25:56.70934357   Counter:   382 ->   209 (  173 running,   174 max)
2023-11-02T14:25:56.709341265  Counter:   382 ->   209 (  174 running,   174 max)
2023-11-02T14:25:56.74995797   Counter:   480 ->   274 (  207 running,   207 max)
2023-11-02T14:25:56.709670567  Counter:   384 ->   211 (  174 running,   174 max)
2023-11-02T14:25:56.709679995  Counter:   384 ->   211 (  173 running,   174 max)
2023-11-02T14:25:56.709982827  Counter:   386 ->   213 (  174 running,   174 max)
2023-11-02T14:25:56.710008319  Counter:   387 ->   213 (  173 running,   174 max)
2023-11-02T14:25:56.710340903  Counter:   388 ->   214 (  174 running,   174 max)
2023-11-02T14:25:56.710969196  Counter:   390 ->   215 (  175 running,   175 max)
2023-11-02T14:25:56.71176832   Counter:   392 ->   216 (  176 running,   176 max)
2023-11-02T14:25:56.712529521  Counter:   394 ->   217 (  177 running,   177 max)
2023-11-02T14:25:56.756721682  Counter:   508 ->   292 (  216 running,   216 max)
2023-11-02T14:25:56.713392061  Counter:   396 ->   218 (  178 running,   178 max)
2023-11-02T14:25:56.714336874  Counter:   398 ->   219 (  179 running,   179 max)
2023-11-02T14:25:56.716076482  Counter:   400 ->   221 (  179 running,   179 max)
2023-11-02T14:25:56.716896489  Counter:   402 ->   222 (  180 running,   180 max)
2023-11-02T14:25:56.717262667  Counter:   404 ->   223 (  181 running,   181 max)
2023-11-02T14:25:56.717592876  Counter:   406 ->   225 (  182 running,   182 max)
2023-11-02T14:25:56.717602794  Counter:   407 ->   225 (  181 running,   182 max)
2023-11-02T14:25:56.717906045  Counter:   408 ->   227 (  182 running,   182 max)
2023-11-02T14:25:56.717935937  Counter:   409 ->   227 (  181 running,   182 max)
2023-11-02T14:25:56.718224032  Counter:   410 ->   229 (  182 running,   182 max)
2023-11-02T14:25:56.718251969  Counter:   411 ->   229 (  181 running,   182 max)
2023-11-02T14:25:56.763683674  Counter:   536 ->   308 (  228 running,   228 max)
2023-11-02T14:25:56.718528191  Counter:   412 ->   231 (  182 running,   182 max)
2023-11-02T14:25:56.718549982  Counter:   413 ->   231 (  181 running,   182 max)
2023-11-02T14:25:56.718851347  Counter:   414 ->   233 (  182 running,   182 max)
2023-11-02T14:25:56.718862312  Counter:   414 ->   233 (  181 running,   182 max)
2023-11-02T14:25:56.719179671  Counter:   416 ->   235 (  181 running,   182 max)
2023-11-02T14:25:56.720661075  Counter:   418 ->   236 (  182 running,   182 max)
2023-11-02T14:25:56.723771807  Counter:   420 ->   237 (  183 running,   183 max)
2023-11-02T14:25:56.77020797   Counter:   551 ->   315 (  236 running,   236 max)
2023-11-02T14:25:56.724768722  Counter:   422 ->   238 (  184 running,   184 max)
2023-11-02T14:25:56.725689859  Counter:   424 ->   239 (  185 running,   185 max)
2023-11-02T14:25:56.726550444  Counter:   426 ->   240 (  186 running,   186 max)
2023-11-02T14:25:56.731955812  Counter:   428 ->   241 (  187 running,   187 max)
2023-11-02T14:25:56.732931845  Counter:   430 ->   242 (  188 running,   188 max)
2023-11-02T14:25:56.733721471  Counter:   432 ->   243 (  189 running,   189 max)
2023-11-02T14:25:56.734499293  Counter:   434 ->   244 (  190 running,   190 max)
2023-11-02T14:25:56.735271459  Counter:   436 ->   245 (  191 running,   191 max)
2023-11-02T14:25:56.736054939  Counter:   438 ->   246 (  192 running,   192 max)
2023-11-02T14:25:56.736839327  Counter:   440 ->   247 (  193 running,   193 max)
2023-11-02T14:25:56.737636076  Counter:   442 ->   248 (  194 running,   194 max)
2023-11-02T14:25:56.74108037   Counter:   444 ->   249 (  195 running,   195 max)
2023-11-02T14:25:56.790388827  Counter:   606 ->   350 (  256 running,   256 max)
